DOI,Author,Year,Software,Decoration,Resolution,EMD,,
https://doi.org/10.1038/s44318-026-00833-w,Judernatz JH,2026,"Cryosparc, Relion, Frealign, Scripts",Decorated,3.2,54641,,
10.1107/S2059798326003062,Zhang D,2026,"Cryosparc, Scripts",Decorated ,2.77,55425,,
,,,,Undecorated,2.9,55431,,
,,,,Undecorated,3.62,55440,,
,,,,Decorated ,4.16,55444,,
: doi:10.1038/s41589-026-02204-2,Luo J,2026,"Cryosparc, Frealign",Decorated ,2.34,65885,,
,,,,Decorated ,2.26,65886,,
,,,,Decorated ,2.35,65887,,
,,,,Decorated ,2.39,65888,,
,,,,Undecorated,2.48,68133,,
,,,,Undecorated,2.41,68134,,
doi:10.1101/2023.12.01.569594,"Zehr, EA",2026," Relion, Scripts",Undecorated,3.1,45750,,
,,,,Undecorated,2.9,45775,,
10.1126/sciadv.aea2112,Funabiki H ,2026,"Cryosparc, Relion",Decorated ,2.6,49166,,
,,,,Decorated ,2.91,49167,,
,,,,Decorated ,3,49168,,
,,,,Decorated ,3.31,49169,,
,,,,Decorated ,3.3,49170,,
,,,,Decorated ,3.39,73614,,
doi:10.1038/s41594-025-01728-w,"Zeng, J",2025,"Relion, Cryosparc, Frealign",Decorated ,3.52,72717,,
,,,,Decorated ,3.34,72718,,
,,,,Decorated ,3.3,72719,,
doi:10.1038/s41467-025-64650-1,"Travis, SM",2025,"Relion, Cryosparc, Frealign",Decorated ,3.83,70593,,
,,,,Decorated ,3.08,46489,,
doi:10.1126/sciadv.adw1561,"Campbell, J",2025,"Relion, Cryosparc, Scripts",Decorated ,3.28,52338,,
doi:10.1038/s41467-026-72370-3,McManus CT,2025,"Cryosparc, Relion, Frealign, Scripts",Decorated ,3.33,45101,,
doi:10.1038/s41467-025-63165-z,"Wurtz, M",2025,"Relion, Cryosparc, Scripts",Decorated,4.9,54161,,
doi:10.1083/jcb.202501253,"Makino, T",2025,"Relion, PyFilamentPicker, Frealign",Decorated,3.48,62874,,
doi:10.1016/j.cell.2025.02.027,"Wollweber, F",2025,"Cryosparc, Cryolo, Relion",Undecorated,3.7,52465,,
doi:10.1038/s41467-025-57555-6,Juan Estévez-Gallego,2025,"Relion, Scripts",Undecorated,3.6,50172,,
